P18	CDKN2C
FHL2	ISL1, FHL4, FHL5, BRCA1, BRCA1, CD18, CD29, CREB1, EIF6, FHL3, IGFBP5, ITGA7, MAPK1, PSEN2, TRAF6, ZNF638
ILF3	DNA-PKcs, PRMT1, XPO5, C5orf36
LIMK1	PAK1, PAK4, YWHAZ
PSMA4	ALS, c-Jun, c-Myc, STAT3, PLK1
PSMB1	PSMB9, PSMB10, PSMB8, ALS, c-Jun, c-Myc, STAT3
RAB6A	BICD1, DCTN1, ERC1, KIF20A
RGS2	ARHGEF1, PRKG1, ADCY5
SUV39H1	CBX1, DNMT3A, HDAC1, HDAC3, HDAC9, MBD1, RUNX1, SBF1
CDC6	ORC2L, PPP2R3B, MCM3, PPP2R3A, MCM7, PSKH1
DAB2	DAB2IP, DVL2, DVL3, LRP2, MYO6, PIN1
FCER1A	MS4A2
GABRG2	GABARAP
GATA2	MECOM, CXCL2, GPR65, GATA1, EVI1, FOXA1, RUNX1, TAL1, GFI1, IKZF1, SPI1, LYL1, GPR56, HDAC3, LMO2, OCT4, SPI1, GATA1, EVI1
XBP1	HLA-DRA, IGHM, HDAC3
SNAP23	SNAP25, GLUT4, KIF5B, SNAPAP, STX11, STX1A, STX2, STX4, STX6, SYBL1, VAMP2, VAMP3
MAPK8IP1	MAP3K10, DUSP16, MAPK8, LRP2, LRP1, MAP3K12, MAP2K7, MAPK8IP2, MAP3K11
ADAMTS4	ADAMTS5, TIMP3, TIMP3, ADAMTS5, ADAMTS5
CDC37	Hsp90, CDK4, CDK6, RAF1, IKBKG, IKK2, STK11, Hsp90
ATF1	MAPK13, EWSR1, BRCA1, CSNK2A2, CAMK2A
HNRPU	EP300, GTF2F1
PBX1	HOXB1, HOXB7, MEIS1, PKNOX1
PSMB4	ALS, c-Jun, c-Myc, STAT3, PSMA1, PSMA5, PSMB5, PSMD1
PSMD10	MDM2, ALS, c-Jun, c-Myc, STAT3, PAAF1, PSMC4
S100A7	S100A15, FABP5, RANBP9
ETS2	ZMYND11
GDI1	CDC42
CASK	TBR1, syndecan, KCNJ4, APBA1, ATP2B4, CINAP, TBR1, DLG1, DLG4, ID1, KCNJ12, LIN7A, RPH3A, SDC2
CLDN1	CLDN5, CLDN3
NEDD4L	NEDD4, SCNN1A
PD-L1	Bcl-2, PD-1, CD80, CD86, CD28, CTLA-4, PDCD1LG2, PD-1, ZAP-70, CD247, PRKCQ, IRF1, STAT1
ZNF51	BCL6
MIP-1-alpha	CCL3
MIP1A	CCL3
CRYAB	CRYAA, CRYBB2, CRYGC, HSPB2, PSMA3
CRYA2	CRYAB
HSPB5	CRYAB
EIF4E	ATPase, helicase, FMR1, CYFIP1, EIF4A1, EIF4EBP1, EIF4EBP2, EIF4EBP3, EIF4ENIF1, EIF4G2
HSP90AB1	DnaJ, HSP90AA1, HSP90B1, TRAP1, CDC37, CDK4, TOMM70A, HSP90AA1, homodimer, MAPK14, ERK5, AHSA1, HSP90AA1
MT-ND3	MT-ATP6, MT-TL1, MT-TK, MT-TW, MT-ND1, MT-ND2, MT-ND4, MT-ND5, MT-ND6, MT-CO3, NDUFA9
RAD17	HUS1, NHP2L1, RAD9A
RAP1GAP	MLLT4
BUB1B	AP2B1, BRCA2, BUB3, CDC20, HDAC1, MAD2L1
DNM2	SHANK1, SHANK2, SNX9
MCL1	BAK1, BCL2L11, DAD1, PCNA, TCTP, TNKS, Bcl-2
Mcl-1	MCL1
MCL1L	MCL1
MCL1S	MCL1
XRCC3	RAD51, RAD51L1, RAD51L3, XRCC2, RAD51C, EZH2, XRCC2
CD163	ADAM17, CSNK2B
RBX1	CAND1, CUL1, CUL2, CUL4A, CUL5, CUL7, DCUN1D1
ATF4	CREB, RUNX2
BCL3	NFKB1, BCL2, BCL6, BCL9, BCL10, BARD1, C22orf25, EP300, HTATIP, NFKB1, NFKB2
IFNAR2	GNB2L1, IFNA2, STAT1, STAT2
LAMP2	LAMP1, LAMP1
NFYA	ZHX1
PEX5	PEX12, PEX13, PEX14
SUPT5H	CDK9, HTATSF1, PIN1, POLR2A, PRMT1
TCEB1	TCEB2
DAZL	DAZ1
RAB11A	TLR4, RAB11FIP1, RAB11FIP2, RAB11FIP3, RAB11FIP4, RAB11FIP5
KLF4	KLF2, NOTCH1
CDC73	LEO1, PAF1, CTR9, POLR2A
GOLGA2	GORASP1, GORASP2, RAB1A, RAB1B, RAB2A
HSD3B2	HSD3B1
PPP2R1A	CTTNBP2NL, FAM40A, PPP2CB, PPP2CA, PPP4C, PPP2R2A, PPP2R3B, PPP2R5A, STK24, STRN, STRN3
PSMD13	ALS, c-Jun, c-Myc, STAT3, PSMA1, PSMB5, PSMD1, PSMC4, PSMD6
RAB3A	RIMS1, UNC13A, RPH3A
RAB4A	CD2AP, KIF3B, RAB11FIP1, RABEP1, STX4
NME1	CD29, NME3, TERF1
NDPKA	NME1
EEF1D	EEF1G, KTN1, TMEM63A
NM23-H1	NME1
TCEB2	CUL2, TCEB1
NPHS2	CD2AP
NOS1	NADPH, DLG4, NOS1AP
IHPS1	NOS1
RAPGEF1	BCAR1, CRKL, HCK
MAP3K11	AKT1, CDC42, MAPK8IP1, MAPK8IP2, SH3RF1
MSX1	homeobox, DLX5, DLX2
ODC1	proteins
PSMB10	PSMB9, PSMB8, PSMB6, PSMB7, PSMB5, ALS, c-Jun, c-Myc, STAT3
PTX3	TNFAIP6
CALM2	AKAP9
RAD23A	PSMD4
RHEB	TSC2, AMPK, PLD1, RPTOR
NRIP1	NFkappaB, RELA, CTBP1, CTBP2, DAX1, YWHAQ
PICK1	ACCN2, BNC1, GRIA2, GRIA3, GRIA4, GRIK1, GRIK2, GRIK3
RBM8A	IPO13, MAGOH, UPF3A
HDAC6	HDAC11, G3BP1
GABRB3	GABRG3, GABRA5, MECP2
HSPB8	HSPB2
LIG4	XRCC4, NHEJ1, XRCC4, XRCC4, XRCC4
MAP4	MAP2, MAPT
PCBP1	PCBP2, HNRPK
PCBP2	TUC338, HNRPK, PTBP1, HNRNPL
PSMB2	ALS, c-Jun, c-Myc, STAT3
PSMD12	ALS, c-Jun, c-Myc, STAT3, PSMA1, PSMB5, PSMD1
UPF1	DCP1A, DCP2, UPF2, UPF3A, UPF3B
CAMK4	CAMK
SUMO2	TRIM63
STX4	RAB4A, SNAP-25, SNAP23, STXBP1, STXBP5, TXLNB, VAMP2, VAMP3
E2F3	TFE3, RYBP
EIF4G2	EIF3A
PRPF8	WDR57, EFTUD2
COPS6	EIF3S6
APLP2	APLP1, APLP1, APBB1
HOXB7	PBX1
PPP1CC	PPP1R15A, SMARCB1, TLX1, PPP1R9B
PPP5C	ASK1, CRY2, GNA12
PSMB3	ALS, c-Jun, c-Myc, STAT3, PLK1
PSMD5	ALS, c-Jun, c-Myc, STAT3, PSMC2
BNIP3	Bcl-2, CD47, Bcl-2
SCP2	PEX5
ADAM12	IGFBP3, PIK3R1
CUL4A	CUL4B, DDB1, RBX1, NEDD8, DDB2, SETD8, PCNA, p21, HOXA9, STAT1, VPRBP, SAMHD1, DDB1, RBX1, CAND1, DDB2, p21, HOXA9, HOXB4, SETD8, STAT1, SAMHD1, IKZF1, IKZF3
ADAM15	CD61, PTK2, HCK, SH3GL2, SNX9
AP1M1	VAMP4, AP1G1
CD69	HIF1A, S1PR1
RCC1	RANBP3
DDB2	XPA, XPB, ERCC2, ERCC4, CUL4A, PARP1, CHD1L, XRCC5, XRCC6
DLG3	CRIPT, DLG4, EXOC3, EXOC4, GRIN2A, GRIN2B, GRIN2C, KCNJ12, PTK2B, SYNGAP1
E2F2	E2F1, E2F3, BRD2, RYBP
ETV4	PEA3
ABI1	EPS8, SOS1, RAC1, WASF2, NCKAP1, EPS8, SOS1
RAPGEF3	RAPGEF4, RAPGEF4, RAPGEF4, RAPGEF1, RAPGEF2, RAPGEF6, RAPGEF5, ARHGEF1, ARHGEF3, PLCE1, RASGEF1A, RASGEF1B, RASGEF1C
GGA3	ARF1, ARF3
TPH2	TPH1
ARAF	EFEMP1, MAP2K2, PRPF6, RRAS, TIMM44, TH1L
GPX4	GPX1
IRF2	IRF1, IRF1, BRD7, EP300, PCAF
IRF7	IRF3
NFYB	CNTN2
PAWR	DAPK3, SLC5A1, THAP1, WT1
PPIB	PPIC, PPIase, P3H1, CRTAP, GRP94
RBBP7	BRCA1, GATAD2B, HDAC1, MTA2, SAP30, SIN3A
TYROBP	SIRPB1
NCOA4	ATG8
FRS2	GRB2, PRKCI, PTPN11, SOS1
GABARAP	TFRC, ULK1, GABRG2
AP1G1	AP1B1, AP1GBP1, AP1M1, AP1S1, NECAP2, RABEP1
DLG2	GRIN2B, KCNJ12
GAS6	MERTK, TYRO3
HK1	homodimer, HK2, HK3, VDAC1, Bcl-2, TNF, EAAT2, EAAT2, HK2, HK3
HSD3B1	HSD3B2
LMO2	GATA1, GATA2, MLLT4, TAL1
MAP3K3	BRCA1, GAB1, MAP2K5, YWHAE, BRCA1
MYO6	myosin, GIPC1, DAB2
NFKBIB	IKK2, RELA
NKX3-1	homeobox, SPDEF
PPP2CB	TLX1, PPP2R1B, PPP2R1A, PPP2CA
PPP2R5A	AXIN1, CTLA-4, PPP2CA, PPP2R1A, PPP2R1B, PPP2R5C
RAD23B	PSMD4
SOX2	KLF4, Oct-4, NPM1, OCT4, c-Myc, NPM1, PAX6
SRD5A1	SRD5A2, SRD5A3, ETV4, ACTH, SRD5A2
SYT1	SNAP-25, STX1A, S100A13
TSPY1	TSPYL1
WASF2	BAIAP2
CLEC4M	CD209, ICAM3
METAP2	proteins
ATF6	YY1, XBP1
GM2A	HEXA
HUS1	HDAC1, PCNA, RAD17, RAD9A
EIF3S6	BAT2, COPS6, EIF3A, TRIM27
LIG1	LIG3
MCM4	MCM2, MCM6, MCM7, ORC2L, ORC6L
MT-ATP6	ATPase, MT-ATP8, MT-ATP8, ATP5H, ATP5I, ATP5J2, ATP5L, MT-ATP8, MT-ATP8, MT-ATP8, MT-TL1, MT-TK, MT-TW, MT-ND1, MT-ND2, MT-ND3, MT-ND4, MT-ND5, MT-ND6, MT-CO3
RIG-I	helicase, MDA5, LGP2
PA2G4	ERBB3, ERBB3
PPP1CB	PPP1R15A, SMARCB1, PPP1R9B
PPP2R2A	PPP2CA, PPP2R1A, PPP2R1B, p107
STK4	PRKRIR
TAF6	TAF5
TAF7	TAF15, TAF1
CBFB	RUNX1, RUNX2, MYH11
DNAJA3	Hsp40, Hsp40, HSPA9, DNM1L, MDM2, AKT, HSP27, HSPA9, HSPA8
NMT2	MARCKS
PDCD6	ASK1, PDCD6IP, ANXA11, PEF1
P450IIC9	CYP2C9
CPC9	CYP2C9
CYP2C10	CYP2C9
PSD95	DLG4
SAP90	DLG4
IMB1	KPNB1
IPOB	KPNB1
Impnb	KPNB1
NTF97	KPNB1
PIK3CG	KRAS, PIK3R5, p87PIKAP
PI3CG	PIK3CG
PSEN2	PSEN1, CAPN1, CIB1, FHL2, FLNB, KCNIP4, UBQLN1
AD4	PSEN2
STM2	PSEN2
AD3L	PSEN2
SLC2A1	GLUT1
HBD	HBE1, HBG2, HBG1, HBB
CMTX	GJB1
CMTX1	GJB1
CX32	GJB1
BAF190	SMARCA4
BRG1	SMARCA4
SNF2L4	SMARCA4
SWI2	SMARCA4
ETS-1	ETS1
EWSR2	ETS1
A8-51	ZNF3
KOX25	ZNF3
HF.12	ZNF3
Zfp113	ZNF3
CCN1	CYR61
CC-CKR-2	CCR2
CKR2	CCR2
CD192	CCR2
CMKBR2	CCR2
MIC10	CD46
Mic10	CD46
TRA2.10	CD46
CSNK2B	CD163, CSNK2A2, FGF1, TRIB3, CDC34, BTF3, BRCA1, RNF7
HBG1	HBE1, HBG2, HBD, HBB
S100B	AHNAK, IMPA1, IQGAP1, P53, PGM1, S100A6, S100A11, VAV1
CEBP	CEBPA
IKK1	CHUK
IKK-alpha	CHUK
IKKA	CHUK
TCF16	CHUK
CD183	CXCR3
GPR9	CXCR3
CKR-L2	CXCR3
Mig-R	CXCR3
RPD3	HDAC3
ATP6	MT-ATP6
PAR3	F2RL2, PARD3
USH1C	CDH23
CDH23	USH1C
PCDH15	CDH23
GPR98	VLGR1
KMT2A	TASP1, MEIS2, SATB2, ASH2L, CTBP1, HDAC1, MEN1, PPP1R15A, RBBP5, WDR5
ALL-1	KMT2A
GP1BA	YWHAZ, FLNB
VAV1	ARHGDIB, EZH2, MAPK1, PIK3R1, PLCG1, PRKCQ, S100B, SIAH2
CMD1S	MYH7
CMH1	MYH7
MPD1	MYH7
MYHCB	MYH7
PDGFB	PDGFA, COL1A1
PDGF2	PDGFB
PRKCG	GRIA4
PKC-gamma	PRKCG
PKCG	PRKCG
SCA14	PRKCG
TNFSF11	RANKL
CD254	RANKL
OPGL	RANKL
TRANCE	RANKL
YWHAB	14-3-3, RAF1, CD29, CDC25A, CDC25B, EPB41L3, HDAC4, KCNK3, MAPK7, PTPN3, RPS6KA1, TESK1, TNFAIP3
GW128	YWHAB
NCK1	DNM1, EIF2B2, KHDRBS1, MAP4K1, MAP4K4, MINK1, NCKIPSD, NEDD9, PAK1, PDGFRB, PKN2, PTK2, RASA1, RRAS, SOCS7, SOS1, WIPF1
NCKalpha	NCK1
ATOD4	SOCS3
CIS3	SOCS3
Cish3	SOCS3
SOCS-3	SOCS3
SSI-3	SOCS3
SSI3	SOCS3
EPAS1	ARNTL
USH1G	USH1C
HIF2A	EPAS1
PECAM1	CD31
ErbB-3	ERBB3
MDA-BF-1	ERBB3
HER3	ERBB3
HPC-1	STX1A
STX1	STX1A
P35-1	STX1A
FIP-3	IKBKG
FIP3	IKBKG
Fip3p	IKBKG
IKK-gamma	IKBKG
IP1	IKBKG
IP2	IKBKG
RPS6KA1	MAPK1, TOB1, TSC2, YWHAB
HU-1	RPS6KA1
MAPKAPK1A	RPS6KA1
RSK1	RPS6KA1
CDC25C	MAPK14, CHEK1, PCNA, PIN1, PLK3, NEDD4
AGPT2	ANGPT2
ANG2	ANGPT2
IRAK1	CHUK, IKBKG, IKK2, IKBKG, SOCS1, STAT3, TRAF6, TOLLIP, TLR4
EJ16	CD59
EJ30	CD59
EL32	CD59
G344	CD59
MIC11	CD59
MIN1	CD59
CD28LG	CD80
CD28LG1	CD80
IRF1	CD8, CD4, STUB1, IRF8, KPNA2, MYD88, PCAF, STAT1, VEGFR2, IRF2
GNAQ	GNA11, RGS16, RGS4, RIC8A
PRKCQ	NF-kappaB, CD28, CARD11, BCL10, MALT1, CARD11, AKT1, FYN, GLRX3, VAV1, CARD11
TIMP3	TIMP1, TIMP2, TIMP4
HEXA	GM2A, HEXB, HEXB
TRAF3	CD27, RANK, TNFSF14
SMARCB1	ARID1A, BAZ1B, BRCA1, P53, POLR2A, PPP1CA, PPP1CB, PPP1CC, PPP1R15A, SMARCA2, SMARCA4, SMARCC1, SMARCE1, SS18, XPO1
GNAI2	EYA2, GPSM2, MDFI, RGS5, RIC8A
GNAI1	GPR143, RGS12, RGS14, RGS19, RIC8A, S1PR1
INHBA	ACVR2A
PIN1	KPNA1, CDC25C, CDC27, CSNK2A2, DAB2, FOXO4, MPHOSPH1, MYT1, P53, PKMYT1, PLK1, SUPT5H
FCGR2A	PIK3R1, CD32
SCARB1	CD81
HER4	ERBB4
BCL2L11	BCL2, BCL2L1, MCL1, FOXO3, BCL2L2, Bcl-2, DYNLL1, MCL1, Bcl-2
COUP-TFI	GTF2B, BCL11A, BCL11B, COPS2
NR2F1	COUP-TFI
NR2E1	TLX
GRIN2B	GRIN1, GRIN2A, GRIN2C, GRIN2D, DLG2, DLG3, DLG4, EXOC4, LIN7B
NMDAR2B	GRIN2B
TSG10	TSG101
VPS23	TSG101
PTGS1	COX-2, CYP2S1
PCOX1	PTGS1
PGHS-1	PTGS1
PGHS1	PTGS1
PHS1	PTGS1
PTGHS	PTGS1
ECGF	FGF1
ECGF-beta	FGF1
ECGFA	FGF1
ECGFB	FGF1
FGF-alpha	FGF1
HBGF1	FGF1
BCAR1	NEDD9, NEDD9, CASS4
CRKAS	BCAR1
ACTG1	CAP1, TMSB4X
DFNA20	ACTG1
DFNA26	ACTG1
CXXC9	DNMT1
MCMT	DNMT1
RAC3	CIB1, HNF1A
HLA-DPB1	HLA-DP
DPB1	HLA-DPB1
HLA-DP1B	HLA-DPB1
FLT3LG	FLT3, STAT5A
GCN5L2	DDB1, TADA2L, TAF9
YWHAE	14-3-3, RAF1, CDC25B, HDAC4, HERG, IRS1, MAP3K3, NDEL1, NGFRAP1
14-3-3E	YWHAE
INPPL1	BCAR1, SHC1, SORBS1
EPB41L3	YWHAB, YWHAH, YWHAG
TBX21	IFNG
ARHGAP1	BNIP2, CDC42, RHOA
PCM1	PCNT, ATPase, ABCA2, DISC1, BBS4, PCNT
PLSCR1	CPSF6, NEU4, SHC1, SLPI
PPP2R5C	PPP2R1B, PPP2CA, PPP2R5A
RAPSN	KHDRBS1
USP26	peptidase
MAP3K5	ASK1
MAPKKK5	ASK1
MEKK5	ASK1
HUP2	PAX3
PP2CA	PPP2CA
MT-ND5	LIG4, YME1L1
MT-ND1	MT-ATP6, MT-TL1, MT-TK, MT-TW, MT-ND2, MT-ND3, MT-ND4, MT-ND5, MT-ND6, MT-CO3, MT-ND2, MT-ND4L
CD97	CD55
CMKLR1	MAPK3
GPR183	CD40, BCL6
GPR1	CMKLR1, CCRL2
CCR10	CCL27, CCL28
ID1	CASK
MYH9	APOL1, PRKCE
ERK5	MAPK7
MEK2	MAP2K2
MKK3	MAP2K3
MKK6	MAP2K6
MKK4	MAP2K4
MEK6	MAP2K6
CCR4	CCL2, CCL4, CCL5, CCL17, CCL22
GPR17	FOXO1
GPR27	SREB
ERK1	MAPK3
ERK2	MAPK1
GPR37	HSPA1A
GPR143	GNAI1
VIPR2	ADCYAP1R1, ADCYAP1R1, VIPR1
FZD7	DLG4
LPAR2	TRIP6
GPR55	GPR119, GPR18
GABBR2	GABBR1
RRH	OPN5
CCR9	CCL25
GPR75	CCL5
GPR124	DLG1
PAR4	F2RL3
MEK4	MAP2K4
PRKAR1A	AKAP10, AKAP1, AKAP4, ARFGEF1, ARFGEF2, MYO7A, PRKAR1B, UBE2M
TSE1	PRKAR1A
PKR1	PRKAR1A
PRKAR1	PRKAR1A
STK11	ESR1, LYK5, MO25, LYK5, MO25, MO25, LYK5, MO25, CDC37, LYK5, SMARCA4
LKB1	STK11
TAF1	GTF2F1, TAF7, UBTF
NSCL2	TAF1
BA2R	TAF1
TAFII250	TAF1
TAF2A	TAF1
DR5	TNFRSF10B
OXGR1	P2Y1, P2Y1
CCRL1	CCL19, CCL21, CCL25
GPR173	SREB
ACKR3	CXCL12, CXCL11
GPR158	RGS7
PKBBETA	AKT2
PRKBB	AKT2
RAC-BETA	AKT2
GTBP	MSH6
HNPCC5	MSH6
HSAP	MSH6
H2A.X	H2AFX
SCYA2	CCL4
MIP-1-beta	CCL4
SCYA4	CCL4
GPR119	GPR55, GPR18
GPR113	TP63, GPR123
OPN5	RRH
UCPH	UCP2
SLC25A8	UCP2
CSVP	ADAM17
S1P1	S1PR1
LPA1	LPAR1
S1P3	S1PR3
S1P2	S1PR2
S1P5	S1PR5
ARP1	ACTR1A
Par-4	PAWR
IL5	IL-5
INHA	INHBA, INHBB
PRKAR2A	AKAP11, AKAP13, AKAP1, AKAP2, AKAP3, AKAP8, AKAP9, ARFGEF2, CBFA2T3, GSK3B, PDE4A, RUNX1T1
PKR2	PRKAR2A
PRKAR2	PRKAR2A
DLGH1	DLG1
SAP97	DLG1
CHRNA7	FYN
NACHRA7	CHRNA7
GRIN2A	GRIN1, GRIN2B, GRIN2C, GRIN2D, DLG1, DLG3, DLG4, FYN, PTK2B
NMDAR2A	GRIN2A
OCT1	SLC22A1, POU2F1
OTF1	POU2F1
DRAP-27	CD9
MIC3	CD9
MRP-1	CD9
TSPAN29	CD9
GPR56	TGM2, CD9, CD81, PAI-1, TCF7L2, COX2
GPR85	SREB
GPR148	GPCR
ADMR	GPR182
TAAR1	TAAR2, ADRA2A, TAAR2, TAAR2, EAAT2, GLP-1
TAS1R1	TAS1R3, TAS1R2, TAS1R2, TAS1R2, TAS1R2, TAS1R2, TAS1R3
TAS1R2	TAS1R3, TAS1R1, TAS1R1, TAS1R1, TAS1R1, TAS1R3
TAS1R3	TAS1R1, TAS1R2, TAS1R2, TAS1R1, TAS1R2, TAS1R1, TAS1R2, TAS1R1, TAS1R2, TAS1R1, TAS1R2
TAS2R50	TAS2R10
OPN1LW	OPN1MW, OPN1SW
LGR5	RSPO1, WNT3A, LRP6, FZD5, RNF43, ZNF3
GPRC6A	ZIP9
LGR6	LGR4, LGR5
CAMK2G	RRAD
CLTC	PICALM
TUBA4A	NCOA6
YWHAQ	14-3-3, CRTC2, MEF2D, NRIP1, PFKFB2, UCP3
IL7	IL-7
GP6	GPVI
DNM1	FNBP1, NCK1, PACSIN1, SH3GL2
POLG	homodimer, POLG2, POLG2, DLG4, SOD2
SRBC	CD2
CTBP1	CTBP2, KLF3, KLF8, KLF12, ACTL6B, EVI1, FOXP2, HDAC1, IKZF1, IKZF4, KLF3, KLF8, NRIP1, RBBP8, GATA1
CYP2A3	CYP2A6
HBE1	HBG2, HBG1, HBD, HBB
PLA2B	PLA2G2A
PLA2L	PLA2G2A
CGRPR	CALCRL
SLC3A2	CD98, SLC7A5, SLC7A7
CD98HC	SLC3A2
4F2HC	SLC3A2
MDU1	SLC3A2
4T2HC	SLC3A2
NACAE	SLC3A2
4F2	SLC3A2
CD339	JAG1
JAGL1	JAG1
CTNND1	CDH2, FYN, MUC1, PSEN1, PTPN6, PTPRJ, PTPRM, YES1, ZBTB33, CTNND2
ABCD-3	CX3CL1
C3Xkine	CX3CL1
SPI1	GATA2, IRF4, NONO
PU.1	SPI1
SFPI1	SPI1
SPI-1	SPI1
YY1	ATF6, EP300, FKBP3, HDAC3, NOTCH1, RYBP, SAP30
YIN-YANG-1	YY1
RBP10	POLR2L
NFAT1	NFATC2
ALDH-E2	ALDH2
ALDM	ALDH2
ERCC3	XPB
BTF2	XPB
GTF2H	XPB
RAD25	XPB
P450PCN3	CYP3A5
PCN3	CYP3A5
GJB6	GJB2, GJB2, GJB2, GJB2, GJB2
DFNA3	GJB6
RPB6	POLR2F
PPP1A	PPP1CA
S100A8	S100A9
APAF1	ATPase, APIP, HSPA4, NLRP1
CEACAM1	PTPN11
CD81	CD9, CD37, CD53, CD63, CD82, CD151, IGSF8, CD316, CD36, CD19, CD21, IFITM1, CD4, CD8, TSPAN4, CD19, CD9, PTGFRN, CD117, CD29
RPS6KA3	MAPK1, PEA15
S100A9	S100A8, S100A8, TLR4
ACTC1	ACTA1, ACTN2, ACTA1
EIF2S1	EIF2S2, EIF2S3
P4HB	UBQLN1, ERO1LB, ERO1L
PLA2G4A	HTATIP
PRKCI	FRS2, PARD3, KRAS
PSMB8	PSMB9, PSMB10, PSMB6, PSMB7, PSMB5, ALS, c-Jun, c-Myc, STAT3
KAT5	TRRAP, P53, E2F1, BCL3, CREB1, ETV6, FANCD2, PLA2G4A
ABCA4	IRF6, ARHGAP29
CAPN1	PSEN2
RUNX1T1	RUNX1, CBFA2T2, CBFA2T3, GFI1, PRKAR2A
CDKN2B	CDK4, CDK6
PEDF	HNF4, CEBPE, USF1, SERPINF2, BLAST, PNPLA2, VEGFR-1, RPSA, FLT1
PSMC5	PSMC2, PSMC1, PSMC4, PSMC6, PSMC3, PSMD2, PSMD1, PSMD4, ADRM1, PSMD2, PSMD1, PSMD4, PSMC2, PSMC3, PSMC4, ADRM1, ADRM1, PSMD4, PSMC3, PSMC4, XPB
SCNN1B	SCNN1A, SCNN1G, SCNN1D, SCNN1A, SCNN1A, SCNN1G, WWP2, NEDD4
SOX9	SRY, FGF9, PGD2, MED12
SPTAN1	FANCA, GRIA2, SHANK1
TERF1	SALL1, MAPRE2, PINX1, TINF2, TNKS2, NME1, MAPRE1, NME1, PINX1, SALL1, TINF2, TNKS2, TNKS
YES1	CTNND1, RPL10
ADAM10	ADAM17
ADAR	ADARB1
AKR1B1	NADPH
ATRX	ATPase, helicase, DAXX, EZH2
GATA3	ZFPM1, ZFPM2, ZFPM1, ZFPM2, LMO1, FOXA1
MAP3K1	AXIN1, MAP2K1, MAPK1, MAPK8, TRAF2, UBE2I
MED1	BRCA1, P53, PPARGC1A, TGS1
Nav1.1	SCN3A, Nav1.4, Nav1.5
SLPI	chymase, PLSCR1, PLSCR4, S100A10
USF1	USF2, FOSL1, GTF2I
PIAS1	DNMT3A, P53, STAT1, UBE2I
BCL10	BCL2, BCL3, BCL6, BCL9, NF-kappaB, MALT1, CARD10, CARD11, CARD14, CARD9, CRADD, IKBKG, MALT1, TRAF2
PTTG1	DNAJA1, P53, PTTG1IP, RPS10
CD47	U87, c-Myc, HIF1A
GADD45A	GADD45, JNK, MAP3K4, GADD45GIP1, MAP3K4, P21, PCNA
LRP5	LRP6, LRP6, KLF15, RUNX2, TPH1, AXIN1, LRP6, GSK3B, TPH1, FZD4, TSPAN12, WNT3A
MAD2L1	ADAM17, BUB1B, CDC20, CDC27, MAD2L2
PLCG2	GAB2, LYN, PTPN11, SHC1
PSMD4	PSMD2, PSMD1, PSMD1, ALS, c-Jun, c-Myc, STAT3, RAD23A, RAD23B
ZFP36	ZFP36L1, YWHAH, NUP214
IQGAP1	RAC1, CDC42, CDC42, RAC1, IQGAP2, IQGAP3, PTPRM, CDC42, CLIP1, PRKACA, RAC1, S100B, ARF6, CD44, PTPRM, c-Raf, CDC42, RAC1, RAC1
FANCA	FANCB, FANCC, BRCA2, FANCD2, FANCE, FANCF, FANCG, FANCL, FANCB, FANCC, FANCE, FANCF, FANCG, FANCD2, FANCD2, BRCA1, FANCC, FANCE, FANCG, FANCD2, FANCG, BRCA1, CHUK, ERCC4, FANCE, FANCF, FANCG, IKK2, SMARCA4, SNX5, SPTAN1, HES1
HLA-F	HLA-A, HLA-A, ILT2, ILT4
HNRPD	SAFB
HSPA4	APAF1, DNAJB1, HDAC1, HSF1, HSPBP1, STUB1, TTC1
INPP5D	DOK2, LYN, CD22, CRKL, CD31, DOK1, SHC1
PSMB9	PSMB10, PSMB8, PSMB1, PSMB2, PSMB5, ALS, c-Jun, c-Myc, STAT3, MAGED1, PRDX4, FCGR3B, IFIT1, IFIT2, IFIT3, MX1, OAS1, STAT1, HERC5, CD53, SELL, HLA-DQA1, PTPRC, TAP2, TAP1, PSMB8, HLA-DQB1, HLA-DQB2, HLA-DMA, HLA-DOA
PSMC2	PSMC1, PSMC4, PSMC6, PSMC3, PSMC5, PSMD2, PSMD1, PSMD4, ADRM1, PSMD2, PSMD1, PSMD4, PSMC1, PSMC3, PSMC4, PSMC5, ADRM1, NDC80, PSMC1, PSMC4, PSMD5
PTPN12	BCAR1, PSTPIP1, TGFB1I1, SHC1
VAMP2	SNAP25, RABAC1, SNAP-25, SNAP23, STX1A, STX4
GNB1	GNG4
SH2D1A	FYN, CD84, DOK1, FYN, LY9, SLAMF1
PIM1	STAT3, STAT5, Hsp90, CBX3, CDC25A, NFATC1, P21, SND1, RELA, TPX2, PTPN6, RP9, TRAF2, SNX6, SOCS3, MARK3
PTPRA	KCNA2
XPA	ERCC1, ERCC1, XAB2
CDK5R1	CAMK2A, CDK5RAP2, CDK5RAP1, CDK5RAP2, CDK5RAP3
ATP1A2	ATPase
C1QBP	BAT2, PRKCD
GNAO1	RGS5, RGS19, RGS20, RIC8A
RBPJ	NOTCH1, PCAF, SND1, SNW1
MDM4	E2F1, P53
PSMA6	ALS, c-Jun, c-Myc, STAT3, RPL17, MRPL22, PSMA4, PLK1, PSMA3
PSME1	PSME2
PTPN13	PKN2
SMARCA2	ACTL6A, ARID1B, CEBPB, POLR2A, SIN3A, SMARCB1, SMARCC1, SS18
